epoch_id,campaign_id,sequence_id,output_time,gps_seconds,fixed_lat_deg,fixed_lon_deg,fixed_height_m,ratio,n_sat_solution,pos_sigma_h,pos_sigma_v,reference_lat_deg,reference_lon_deg,fixed_error_h
1,DATA13,DATA13,2021-11-18 04:38:50.001000,1321245530.0,30.534804722,114.421190774,12.6226,4.3,12,0.007433034373659253,0.0198,30.5348047174,114.4211905717,0.019420400184692203
2,DATA13,DATA13,2021-11-18 04:38:51.001000,1321245531.0,30.53480471,114.421190787,12.6314,4.9,13,0.007234638899074369,0.0184,30.5348047174,114.4211905717,0.02067752814097158
3,DATA13,DATA13,2021-11-18 04:38:52.001000,1321245532.0,30.534804703,114.421190775,12.6375,12.6,14,0.00709365914038728,0.0184,30.5348047175,114.4211905717,0.019575780759545514
4,DATA13,DATA13,2021-11-18 04:38:53.001000,1321245533.0,30.534804697,114.421190783,12.6369,11.8,14,0.00709365914038728,0.0184,30.5348047175,114.4211905717,0.020404348807099744
5,DATA13,DATA13,2021-11-18 04:38:54.001000,1321245534.0,30.534804716,114.421190779,12.6348,8.6,14,0.00709365914038728,0.0184,30.5348047175,114.4211905716,0.019903820499875595
6,DATA13,DATA13,2021-11-18 04:38:55.001000,1321245535.0,30.53480472,114.421190772,12.6337,10.1,14,0.00709365914038728,0.0184,30.5348047175,114.4211905716,0.019233367815265
7,DATA13,DATA13,2021-11-18 04:38:56.001000,1321245536.0,30.534804731,114.421190761,12.6231,9.5,15,0.006794115100585212,0.0144,30.5348047175,114.4211905716,0.018237270779540984
8,DATA13,DATA13,2021-11-18 04:38:57.001000,1321245537.0,30.534804717,114.421190787,12.6241,18.0,19,0.006293647591023825,0.014,30.5348047174,114.4211905718,0.02065169904807419
9,DATA13,DATA13,2021-11-18 04:38:58.001000,1321245538.0,30.534804722,114.421190755,12.6249,16.1,21,0.005586591089385368,0.0131,30.5348047175,114.4211905717,0.01759744252882021
10,DATA13,DATA13,2021-11-18 04:38:59.001000,1321245539.0,30.534804711,114.421190791,12.6218,28.7,21,0.005586591089385368,0.0131,30.5348047175,114.4211905717,0.021057440035697088
11,DATA13,DATA13,2021-11-18 04:39:01.001000,1321245541.0,30.534804723,114.421190777,12.6226,22.6,21,0.005586591089385368,0.0131,30.5348047175,114.4211905717,0.019711032135787912
12,DATA13,DATA13,2021-11-18 04:39:02.001000,1321245542.0,30.534804715,114.421190799,12.6195,23.3,21,0.005586591089385368,0.0131,30.5348047174,114.4211905717,0.02181444957064387
13,DATA13,DATA13,2021-11-18 04:39:03.000000,1321245543.0,30.534804725,114.421190789,12.62,25.1,21,0.005586591089385368,0.0131,30.5348047174,114.4211905717,0.020870191424553312
14,DATA13,DATA13,2021-11-18 04:39:04.000000,1321245544.0,30.534804708,114.421190786,12.6241,30.4,21,0.005586591089385368,0.0131,30.5348047175,114.4211905718,0.02058264910478906
15,DATA13,DATA13,2021-11-18 04:39:05.000000,1321245545.0,30.534804705,114.421190784,12.6249,26.2,21,0.005586591089385368,0.0131,30.5348047175,114.4211905717,0.02042042797475801
16,DATA13,DATA13,2021-11-18 04:39:06.000000,1321245546.0,30.534804715,114.421190776,12.6223,23.0,22,0.00551543289325507,0.013,30.5348047175,114.4211905717,0.019607592368502264
17,DATA13,DATA13,2021-11-18 04:39:07.000000,1321245547.0,30.534804706,114.421190773,12.6172,22.7,22,0.00551543289325507,0.013,30.5348047175,114.4211905717,0.019359762487759263
