epoch_id,campaign_id,sequence_id,output_time,gps_seconds,fixed_lat_deg,fixed_lon_deg,fixed_height_m,ratio,n_sat_solution,pos_sigma_h,pos_sigma_v,reference_lat_deg,reference_lon_deg,fixed_error_h,risk_score,requires_review,quality_category,actual_exceeds_tolerance
1,DATA13,DATA13,2021-11-18 04:38:50.001000,1321245530.0,30.534804722,114.421190774,12.6226,4.3,12,0.0074330343736592,0.0198,30.5348047174,114.4211905717,0.0194204001846922,0.6089289106273343,True,В пределах допуска — требуется проверка,False
2,DATA13,DATA13,2021-11-18 04:38:51.001000,1321245531.0,30.53480471,114.421190787,12.6314,4.9,13,0.0072346388990743,0.0184,30.5348047174,114.4211905717,0.0206775281409715,0.4627854919148711,True,В пределах допуска — требуется проверка,False
3,DATA13,DATA13,2021-11-18 04:38:52.001000,1321245532.0,30.534804703,114.421190775,12.6375,12.6,14,0.0070936591403872,0.0184,30.5348047175,114.4211905717,0.0195757807595455,0.28269485389644866,True,В пределах допуска — требуется проверка,False
4,DATA13,DATA13,2021-11-18 04:38:53.001000,1321245533.0,30.534804697,114.421190783,12.6369,11.8,14,0.0070936591403872,0.0184,30.5348047175,114.4211905717,0.0204043488070997,0.28831618103779755,True,В пределах допуска — требуется проверка,False
5,DATA13,DATA13,2021-11-18 04:38:54.001000,1321245534.0,30.534804716,114.421190779,12.6348,8.6,14,0.0070936591403872,0.0184,30.5348047175,114.4211905716,0.0199038204998755,0.31145046810878685,True,В пределах допуска — требуется проверка,False
6,DATA13,DATA13,2021-11-18 04:38:55.001000,1321245535.0,30.53480472,114.421190772,12.6337,10.1,14,0.0070936591403872,0.0184,30.5348047175,114.4211905716,0.019233367815265,0.3004792373809635,True,В пределах допуска — требуется проверка,False
7,DATA13,DATA13,2021-11-18 04:38:56.001000,1321245536.0,30.534804731,114.421190761,12.6231,9.5,15,0.0067941151005852,0.0144,30.5348047175,114.4211905716,0.0182372707795409,0.1830866490785987,True,В пределах допуска — требуется проверка,False
8,DATA13,DATA13,2021-11-18 04:38:57.001000,1321245537.0,30.534804717,114.421190787,12.6241,18.0,19,0.0062936475910238,0.014,30.5348047174,114.4211905718,0.0206516990480741,0.020794563486111514,False,В пределах допуска — принято,False
9,DATA13,DATA13,2021-11-18 04:38:58.001000,1321245538.0,30.534804722,114.421190755,12.6249,16.1,21,0.0055865910893853,0.0131,30.5348047175,114.4211905717,0.0175974425288202,0.007052933596184776,False,В пределах допуска — принято,False
10,DATA13,DATA13,2021-11-18 04:38:59.001000,1321245539.0,30.534804711,114.421190791,12.6218,28.7,21,0.0055865910893853,0.0131,30.5348047175,114.4211905717,0.021057440035697,0.004580935136795214,False,В пределах допуска — принято,False
11,DATA13,DATA13,2021-11-18 04:39:01.001000,1321245541.0,30.534804723,114.421190777,12.6226,22.6,21,0.0055865910893853,0.0131,30.5348047175,114.4211905717,0.0197110321357879,0.005646053028076648,False,В пределах допуска — принято,False
